University of Nebraska-Lincoln Police,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
17004402,ACCIDENTS - P.D. H&R NOT REPORTABLE,11/2/2017 12:47,Closed - Inactive,11/2/2017 7:00,11/2/2017 11:45,N/A,(GOV'T PARKING LOT (UNL)),$0.00,$300.00,Staff member reported hit and run accident to state vehicle.
17004407,LOST OR STOLEN ITEM,11/2/2017 17:05,Closed - Non-Criminal Case,8/26/2017 18:28,8/26/2017 18:28,Selleck Quad,600 N 15th St (UNKNOWN),$0.00,$0.00,Lost of stolen item of UNL student passport.
17004408,ACCIDENTS - P.D. H&R NOT REPORTABLE,11/2/2017 19:59,Closed - Cleared by Arrest-Adult,11/2/2017 18:15,,17th & R Parking Garage,300 N 17th St (GOV'T PARKING GARAGE (UNL)),$0.00,$330.00,Officers received a report of a hit and run motor vehicle accident. The case is currently under investigation.
17004411,NARCOTICS - POSSESSION,11/2/2017 22:10,Closed - Cleared by Arrest-Adult,11/2/2017 22:10,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,"Officers responded to the report of possible narcotic usage in the resident hall. Officers located the resident and she was subsequently cited and released for Minor in Possession of Alcohol, Possession of Marijuana < 1oz (7.9g), and Possession of Drug Paraphernalia."
17004415,FALSE INFORMATION - GIVEN TO OFC.,11/3/2017 1:21,Closed - Cleared by Arrest-Adult,11/3/2017 1:21,,N/A,N 16TH ST & S ST (STREET),$0.00,$0.00,"Officers contacted a motor vehicle after it was observed violating a stop sign. After contacting the occupants of the vehicle, one passenger provided officers with her brother's name and DOB due to an active broadcast. Her real identity was discovered and she was cited and lodged for Criminal Impersonation (IV Felony)."
17004418,ACCIDENTS - P.D. REPORTABLE,11/3/2017 9:43,Closed - Non-Criminal Case,11/3/2017 9:40,,N/A,N 16TH ST & U ST (STREET),$0.00,"$1,900.00",Students involved in two vehicle non injury accident.
17004419,ACCIDENTS - P.D. NOT REPORTABLE,11/3/2017 10:50,Closed - Non-Criminal Case,10/31/2017 15:34,,17th & R Parking Garage,300 N 17th St (GOV'T PARKING GARAGE (UNL)),$0.00,$200.00,Non-reportable accident at N 17th/R St parking garage.
17004431,ACCIDENTS - P.D. H&R NOT REPORTABLE,11/3/2017 22:28,Closed - Cleared by Arrest-Adult,10/30/2017 8:12,,The 50-50,1801 R St (GOV'T PARKING GARAGE (UNL)),$0.00,$0.00,Hit and run in the parking garage. Suspect identified.
17004432,NARCOTICS - POSSESSION,11/3/2017 23:27,Closed - Cleared by Arrest-Adult,11/3/2017 23:27,,Schramm Hall,1130 N 14th St (UNL RESIDENCE HALL),$0.00,$0.00,"A report of possible narcotic use in a university dorm room. UPD Officer's contacted three UNL students in reference to the report. Two of the students were cited/released for Possession of Marijuana < 1oz, and Possession of Drug Paraphernalia. One student was cited/released for Possession of Marijuana < 1oz."
17004434,SEX OFFENSE - RAPE,11/4/2017 1:53,Open,11/3/2017 23:00,11/4/2017 0:00,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A non-University student reported a sexual assault that occurred in the residence hall. The case is currently under investigation.
17004435,AUTO THEFT,11/4/2017 3:56,Closed - Cleared by Arrest-Adult,11/4/2017 3:56,,N/A,815 N 21 ST (GOV'T PARKING LOT (UNL)),"$5,000.00",$0.00,A non-University affiliate was observed checking door handles in a UNL parking lot and proceeded to steal an motor vehicle. He was subsequently arrested and lodged in Lancaster County Corrections for Theft by Unlawful Taking $5000+.
17004436,ALCOHOL - DWI,11/4/2017 3:56,Closed - Cleared by Arrest-Adult,11/4/2017 3:56,,N/A,ANTELOPE VALLEY PARKWAY & Salt Creek RDWY (STREET),$0.00,$0.00,Non-affiliate cited for DUI (refused).
17004439,DISTURBANCE - OTHER,11/4/2017 9:10,Closed - Inactive,10/25/2017 8:00,11/1/2017 15:00,University Suites,1780 R St (UNL APARTMENT),$0.00,$0.00,UPD received the report of a belated disturbance.
17004441,DISTURBANCE - OTHER,11/4/2017 17:08,Closed - Non-Criminal Case,11/4/2017 16:30,,Stadium East,"1100 T St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Report of possible assault at football game.
17004447,ALCOHOL - DRUNK,11/4/2017 20:42,Closed - Non-Criminal Case,11/4/2017 20:42,,Andrews Hall,625 N 14th St (SIDEWALK),$0.00,$0.00,"Two University non-affiliates were contacted due to their intoxication level. They were subsequently transported to the Bridge for a safe detoxification (.191 BAC, .182 BAC)"
17004451,MEDICAL EMERGENCY,11/5/2017 3:16,Closed - Non-Criminal Case,11/5/2017 3:16,,Selleck Quad,600 N 15th St (SIDEWALK),$0.00,$0.00,Student transported to the hospital due to intoxication.
17004453,SS - CHECK WELFARE OF PERSON,11/5/2017 15:23,Closed - Non-Criminal Case,11/4/2017 19:00,,The Robert E. Knoll Residential Center,440 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Check welfare of student.
17004454,LARCENY - STOLEN BIKE,11/5/2017 16:04,Closed - Inactive,11/4/2017 21:00,11/5/2017 16:04,Willa S. Cather Dining Complex,"530 N 17th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Student reported theft of bike.
17004455,TRAFFIC - SUSPENDED DRIVER,11/5/2017 23:52,Closed - Cleared by Arrest-Adult,11/5/2017 23:52,,N/A,N 19TH ST & Y ST (STREET),$0.00,$0.00,A vehicle was stopped for a traffic violation. The non-affiliate driver was cited/released for DUS and NO Insurance.
17004460,ACCIDENTS - P.D. H&R NOT REPORTABLE,11/6/2017 11:32,Closed - Cleared by Arrest-Adult,11/6/2017 11:32,,N/A,1033 N. 16th St. (GOV'T PARKING LOT (UNL)),$0.00,$400.00,Hit and run occurred in the parking lot. Suspect vehicle identified.
17004464,LARCENY - FROM BUILDING,11/6/2017 14:32,Closed - Inactive,10/30/2017 22:00,10/31/2017 0:00,Love Library North & Link,"1300 R St (UNL SUPPORT FACILITY (office, service))",$125.00,$0.00,Student reported lost item.
17004465,LOST OR STOLEN ITEM,11/6/2017 15:00,Closed - Non-Criminal Case,11/2/2017 23:00,11/2/2017 0:00,Sapp Recreation Facility,"841 N 14th St (UNL SUPPORT FACILITY (office, service))",$430.00,$0.00,A student reported their iPhone being stolen from the Rec Center. Investigation continues.
17004466,LARCENY - FROM BUILDING,11/6/2017 16:52,Closed - Non-Criminal Case,11/6/2017 15:40,11/6/2017 16:40,Sapp Recreation Facility,"841 N 14th St (UNL SUPPORT FACILITY (office, service))",$200.00,$0.00,A student reported their jacket being stolen from the lockers at the Rec Center. Investigation continues.
17004468,DISTURBANCE - OTHER,11/6/2017 18:06,Closed - Cleared by Arrest-Adult,11/6/2017 17:30,11/6/2017 18:06,Woods Art Building,1140 R St (UNL ACADEMIC BUILDING),$0.00,$0.00,A report of a disturbance involving a student and a Teacher's Assistant at the Woods Art building. The UNL staff member reported a student caused a disturbance during class. Investigation is on-going.
17004471,ALCOHOL - MINOR IN POSSESSION,11/6/2017 23:48,Closed - Cleared by Arrest-Adult,11/6/2017 23:48,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,"A vehicle was stopped for a traffic violation. The driver was cited/released for MIP, Open Container, Littering, No Valid Registration, and No Insurance."
17004472,LARCENY - FROM BUILDING,11/7/2017 0:13,Closed - Non-Criminal Case,11/6/2017 23:00,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$500.00,$0.00,A student reported their iPhone stolen from a university dorm hallway. Investigation continues.
17004474,TRAFFIC - SUSPENDED DRIVER,11/7/2017 0:34,Closed - Cleared by Arrest-Adult,11/7/2017 0:34,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,"A vehicle was stopped for a traffic violation. The driver was cited/released for Violating a Traffic Signal, White Light to Rear and DUS."
17004473,MEDICAL EMERGENCY,11/7/2017 0:35,Closed - Non-Criminal Case,11/7/2017 0:35,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an intoxicated female at a university dorm. The intoxicated female student was treated by LFR and transported to a local area hospital for further care. The student was later transported to The Bridge by UPD. BrAC .256
17004475,FALSE INFORMATION - GIVEN TO OFC.,11/7/2017 0:53,Closed - Cleared by Arrest-Adult,11/7/2017 0:53,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,A passenger in a vehicle of a traffic stop provided a fake name to a UPD Officer. The individual was cited/released for False Info and lodged in jail for an active warrant.
17004477,TRAFFIC - SUSPENDED DRIVER,11/7/2017 1:18,Closed - Cleared by Arrest-Adult,11/7/2017 1:18,,N/A,N ANTELOPE VALLEY PKWY & Salt Creek RDWY (STREET),$0.00,$0.00,"A vehicle was stopped for expired registration. The driver was cited/released for DUS, Improper Registration and No Insurance."
17004479,ALCOHOL - MINOR IN POSSESSION,11/7/2017 1:50,Closed - Cleared by Arrest-Adult,11/7/2017 1:50,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an intoxicated male inside a university dorm room. A UPD Officer contacted the male student who was cited/released for MIP-C. BrAC .192
17004481,MEDICAL EMERGENCY,11/7/2017 7:23,Closed - Non-Criminal Case,11/7/2017 7:10,,Eastside Suites,433 N 19th St (UNL RESIDENCE HALL),$0.00,$0.00,Student transported to Bryan West after falling out of his bed.
17004485,LOST OR STOLEN ITEM,11/7/2017 10:43,Closed - Inactive,,,Stadium West,"1100 T St (UNL SUPPORT FACILITY (office, service))",$800.00,$0.00,Unable to locate a vacuum.
17004486,LARCENY - FROM MOTOR VEHICLE,11/7/2017 11:01,Closed - Inactive,11/4/2017 21:00,11/6/2017 8:30,Alpha Phi,1531 S St (OFF CAMPUS/GREEK HOUSING),$20.00,$0.00,Money stolen from a parked car.
17004487,DISTURBANCE - OTHER,11/7/2017 14:02,Closed - Inactive,11/7/2017 13:00,11/7/2017 13:10,The Village,1055 N 16th St (UNL RESIDENCE HALL),$0.00,$0.00,Disturbance by an unknown A/M grabbing the backpack of a UNL female student at The Village. Be aware of the potential for an additional larceny of backpack at the Village reference this suspect.
17004490,ACCIDENTS - P.D. H&R NOT REPORTABLE,11/7/2017 17:25,Closed - Cleared by Arrest-Adult,11/7/2017 17:18,,17th & R Parking Garage,300 N 17th St (GOV'T PARKING GARAGE (UNL)),$0.00,"$2,000.00",A third party reported a hit and run accident occurring in a university parking garage. The student responsible was cited/released for Leave Accident-Fail to Furnish Info and No Registration.
17004495,NARCOTICS - POSSESSION,11/8/2017 0:23,Closed - Cleared by Arrest-Adult,11/8/2017 0:23,,N/A,N ANTELOPE VALLEY PKWY & MILITARY RD (STREET),$0.00,$0.00,A vehicle was stopped for a traffic violation. The driver was cited/released for Possession of Drug Paraphernalia.
17004500,FRAUD - CREDIT CARDS/ATM/BANK CARD,11/8/2017 12:23,Closed - Non-Criminal Case,11/4/2017 11:00,11/5/2017 21:00,N/A,(RESTAURANT),$0.00,$0.00,Student reported unauthorized activity on a credit card occurring outside of Lancaster county.
17004502,LOST OR STOLEN ITEM,11/8/2017 13:38,Closed - Non-Criminal Case,11/8/2017 8:30,11/8/2017 11:15,Love Library South,"1248 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,"Unfounded lost item of a wallet from Love Library, later recovered by reporting party."
17004503,DISTURBANCE - OTHER,11/8/2017 16:59,Closed - Non-Criminal Case,11/8/2017 15:30,,The Village,1055 N 16th St (UNL RESIDENCE HALL),$0.00,$0.00,Verbal dispute between roommates.
17004516,ACCIDENTS - P.D. H&R NOT REPORTABLE,11/9/2017 10:56,Closed - Cleared by Arrest-Adult,11/9/2017 10:43,,14th & Avery Parking Garage,1111 N 14th St (GOV'T PARKING GARAGE (UNL)),$0.00,$0.00,Student cited/released for leaving the scene of an accident (non-injury).
17004526,NARCOTICS - POSSESSION,11/9/2017 23:19,Closed - Cleared by Arrest-Adult,11/9/2017 23:19,,515 N 19th Parking Lot Vine to,515 N 19th St (GOV'T PARKING LOT (UNL)),$0.00,$0.00,Three University students were contacted in a motor vehicle. A probable cause search produced alcohol and numerous items of drug paraphernalia. The three individuals were cited for Possession of Marijuana < 1oz and Possession of Drug Paraphernalia. One of the students was also cited for Minor in Possession of Alcohol.
17004527,ALCOHOL - DRUNK,11/9/2017 23:30,Closed - Non-Criminal Case,11/9/2017 23:30,,Burnett Hall,1220 T St (UNL ACADEMIC BUILDING),$0.00,$0.00,A University staff member found an intoxicated male in Burnett Hall. Officers were notified and the student was transported to the Bridge (.225 BAC).
17004529,ALCOHOL - MINOR IN POSSESSION,11/10/2017 1:40,Closed - Cleared by Arrest-Adult,11/10/2017 1:40,,Eastside Suites,433 N 19th St (UNL APARTMENT),$0.00,$0.00,Officers contacted a non-University affiliate in the hallway. She was found to be intoxicated and was subsequently cited and released for Minor in Possession of Alcohol by Consumption (.144 BAC) and transported to The Bridge.
17004532,DISTURBANCE - OTHER,11/10/2017 10:35,Closed - Non-Criminal Case,11/10/2017 10:25,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Student reported disturbing phone call.
17004520,DISTURBANCE - OTHER,11/10/2017 14:05,Closed - Non-Criminal Case,,,N/A,(UNKNOWN),$0.00,$0.00,A University staff member reported receiving concerning text messages from a former co-worker. The case is under investigation.
17004537,BOMB - THREAT,11/10/2017 14:34,Closed - Inactive,,,N/A,City of Lincoln (UNKNOWN),$0.00,$0.00,UPD received a bomb threat via telephone which was determined to be non-credible.
17004538,SUSPICIOUS ITEM OR PACKAGE (NON-EXPLOSIVE),11/10/2017 14:39,Closed - Non-Criminal Case,,,Architecture Hall West,400 Stadium Dr (UNL ACADEMIC BUILDING),$0.00,$0.00,A University employee reported a suspicious item near a University building. It was found to be an unattended backpack and was discarded without issue after evaluation by LFR.
17004541,ALCOHOL - MINOR IN POSSESSION,11/10/2017 22:42,Closed - Cleared by Arrest-Adult,11/10/2017 22:42,,Smith Hall,1120 N 14th St (UNL RESIDENCE HALL),$0.00,$0.00,Eight citations for MIP at UNL residence hall.
17004543,ALCOHOL - MINOR IN POSSESSION,11/10/2017 23:34,Closed - Cleared by Arrest-Adult,11/10/2017 23:34,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Two citations for minors in possession of alcohol by consumption at Abel Hall.
17004542,ALCOHOL - MINOR IN POSSESSION,11/10/2017 23:45,Closed - Cleared by Arrest-Adult,11/10/2017 23:45,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,One citation for MIP-C at UNL residence hall.
17004544,DISTURBANCE - WILD PARTY,11/11/2017 0:58,Closed - Cleared by Arrest-Adult,11/11/2017 0:58,,N/A,1219 Claremont Street (SINGLE FAMILY – off campus),$0.00,$0.00,Officers contacted three underage individuals in the residence halls that were found to be intoxicated and returning from an off-campus gathering. Officers went to the original location off campus where the gathering was and the sole resident was cited and released for Maintaining a Disorderly House.
17004552,OUTSIDE - O.P.S. OTHER,11/11/2017 4:11,Closed - Non-Criminal Case,11/11/2017 0:00,,N/A,399 N. 20th Street (UNL RESIDENCE HALL),$0.00,$0.00,OPS video of unfounded sex assault to LPD.
17004547,ACCIDENTS - P.D. H&R NOT REPORTABLE,11/11/2017 11:14,Closed - Inactive,11/4/2017 9:00,11/4/2017 21:00,Westbrook Music Building,1104 R St (GOV'T PARKING LOT (UNL)),$0.00,$700.00,UPD received the report of a belated accident.
17004549,LARCENY - STOLEN BIKE,11/11/2017 19:05,Closed - Inactive,11/11/2017 12:00,11/11/2017 16:45,Westbrook Music Building,1104 R St (SIDEWALK),$600.00,$0.00,A University student reported his bike stolen from a bike rack on campus. There are no suspects at this time and the case is under investigation.
17004554,LARCENY - FROM BUILDING,11/12/2017 15:40,Closed - Inactive,11/12/2017 15:20,11/12/2017 15:25,Sandoz Hall,820 N 17th St (UNL RESIDENCE HALL),$825.00,$0.00,Students reported laundry stolen.
17004558,NARCOTICS - POSSESSION,11/12/2017 22:59,Closed - Cleared by Arrest-Adult,11/12/2017 22:59,,N/A,N 17TH ST & Y ST (STREET),$0.00,$0.00,"Officers contacted a motor vehicle for a turn signal violation. A subsequent probable cause search of the vehicle produced drugs and drug paraphernalia. The driver, who was University student, was cited and released for Possession of Drug Paraphernalia, Possession of Marijuana <1 oz. and Fail to Signal 100 Feet Before Turn."
17004561,TRAFFIC - SUSPENDED DRIVER,11/12/2017 23:46,Closed - Cleared by Arrest-Adult,11/12/2017 23:46,,N/A,N 14TH ST & VINE ST (STREET),$0.00,$0.00,A non-University affiliate was contacted on a traffic stop for failing to signal. His driving privileges was found to be suspended. He was cited and released for Driving under suspension and fail to signal within 100 feet before turn.
17004566,LARCENY - FROM BUILDING,11/13/2017 15:03,Closed - Inactive,11/13/2017 14:55,11/13/2017 15:00,Selleck Quad,600 N 15th St (UNL RESIDENCE HALL),$50.00,$0.00,Student reported theft of their property.
17004572,TRAFFIC - OTHER,11/14/2017 0:30,Closed - Inactive,11/14/2017 0:30,,N/A,VINE ST & N ANTELOPE VALLEY PKWY (STREET),$0.00,$0.00,A UPD Officer attempted a traffic stop of a vehicle. The vehicle fled from the Officer at a high rate of speed turning the wrong way on a one way. Investigation continues.
17004576,LOST OR STOLEN ITEM,11/14/2017 15:03,Closed - Non-Criminal Case,11/14/2017 12:00,11/14/2017 13:45,C.P.N. Food Services N 17th Street,527 N 17th St (UNKNOWN),$0.00,$0.00,Student reported losing several items.
17004577,DISTURBANCE - OTHER,11/14/2017 16:04,Closed - Inactive,11/13/2017 10:00,11/14/2017 14:30,Animal Science Complex,3940 Fair St (GOV'T PARKING LOT (UNL)),$0.00,$0.00,Student reported written profanity on their vehicle.
17004588,NARCOTICS - POSSESSION,11/14/2017 23:23,Closed - Cleared by Arrest-Adult,11/14/2017 23:23,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Drug paraphernalia found in a room.
17004594,LARCENY - FROM MOTOR VEHICLE,11/15/2017 8:45,Closed - Inactive,11/15/2017 5:15,11/15/2017 5:25,Kappa Kappa Gamma,616 N 16th St (OFF CAMPUS/GREEK HOUSING),$100.00,$0.00,UPD responded to the report of a larceny from motor vehicle.
17004595,DISTURBANCE - OTHER,11/15/2017 9:06,Closed - Inactive,11/14/2017 19:43,,Sandoz Hall,820 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A note was left on a bulletin board.
17004596,LARCENY - FROM BUILDING,11/15/2017 10:09,Closed - Inactive,11/14/2017 9:30,11/14/2017 9:40,Beadle Center,1901 Vine St (UNL ACADEMIC BUILDING),$15.00,$0.00,Newspapers stolen from the building.
17004597,LARCENY - STOLEN BIKE,11/15/2017 10:44,Closed - Inactive,11/14/2017 15:30,11/15/2017 10:30,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$170.00,$0.00,Bicycle stolen from the bike racks on the southwest corner of the complex.
17004610,LARCENY - OTHER OR FROM OPEN AREA,11/16/2017 7:20,Closed - Inactive,11/10/2017 15:00,11/13/2017 7:00,Watson Building,"1309 N 17th St (UNL SUPPORT FACILITY (office, service))",$175.00,$0.00,UPD received the report of the belated theft of a bicycle seat and post.
17004621,TELEPHONE - OBSCENE CALLS,11/16/2017 18:22,Closed - Inactive,11/16/2017 17:55,11/16/2017 18:30,UNL Police,"300 N 17th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,UPD received multiple calls from a blocked number presenting a digitized voice and various other sound effects. The case is currently under investigation.
17004626,ALCOHOL - MINOR IN POSSESSION,11/16/2017 23:52,Closed - Cleared by Arrest-Adult,11/16/2017 23:52,,N/A,R ST & N 18TH ST (SIDEWALK),$0.00,$0.00,MIP-C of UNL student.
17004625,LARCENY - FROM BUILDING,11/16/2017 23:57,Closed - Inactive,11/16/2017 19:20,11/16/2017 20:30,The Robert E. Knoll Residential Center,440 N 17th St (UNL RESIDENCE HALL),$870.00,$0.00,Larceny of a bicycle from the Knoll.
17004627,ALCOHOL - MINOR IN POSSESSION,11/17/2017 0:12,Closed - Cleared by Arrest-Adult,11/17/2017 0:12,,N/A,N 16TH ST & S ST (SIDEWALK),$0.00,$0.00,MIP-C of two UNL students.
17004628,NARCOTICS - POSSESSION,11/17/2017 1:47,Closed - Cleared by Arrest-Adult,11/17/2017 1:47,,515 N 19th Parking Lot Vine to,515 N 19th St (GOV'T PARKING LOT (UNL)),$300.00,$0.00,Arrest of Ronald L. Burns for multitude of charges (2F 2M) at 515 N 19 parking garage.
17004629,VANDALISM - OTHER,11/17/2017 5:54,Closed - Inactive,11/17/2017 5:54,,Theta Xi,1535 R St (OFF CAMPUS/GREEK HOUSING),$0.00,$150.00,Vandalism of glass window at Theta Xi by an apple thrown from Phi Delta Theta.
17004646,DISTURBANCE - OTHER,11/17/2017 17:14,Closed - Non-Criminal Case,10/27/2017 0:00,11/17/2017 17:14,The Robert E. Knoll Residential Center,440 N 17th St (UNL APARTMENT),$0.00,$0.00,UPD received the report of a belated disturbance.
17004655,MEDICAL EMERGENCY,11/17/2017 23:05,Closed - Non-Criminal Case,11/17/2017 23:05,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Medical emergency of UNL student who had a reaction to marijuana ingested off-campus.
17004649,NARCOTICS - POSSESSION,11/17/2017 23:15,Closed - Cleared by Arrest-Adult,11/17/2017 23:15,,N/A,1018 Claremont St (SINGLE FAMILY – off campus),$0.00,$0.00,"Officers made contact with a University Student who had an active warrant. While speaking with her, they observed drug paraphernalia in plain view. She was lodged on the warrant and cited and released for possession of drug paraphernalia."
17004656,ALCOHOL - MINOR IN POSSESSION,11/18/2017 0:06,Closed - Cleared by Arrest-Adult,11/18/2017 0:06,,515 N 19th Parking Lot Vine to,515 N 19th St (GOV'T PARKING LOT (UNL)),$0.00,$0.00,MIP-C of a UNL student and a juvenile at 515 N 19th St.
17004657,ALCOHOL - MINOR IN POSSESSION,11/18/2017 0:14,Closed - Cleared by Arrest-Adult,11/18/2017 0:14,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,MIP-C of UNL student at Abel Hall.
17004658,ALCOHOL - MINOR IN POSSESSION,11/18/2017 1:03,Closed - Cleared by Arrest-Adult,11/18/2017 1:03,,Sandoz Hall,820 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,MIP-C of UNL student at Sandoz Hall.
17004661,ALCOHOL - MINOR IN POSSESSION,11/18/2017 4:29,Closed - Cleared by Arrest-Adult,11/18/2017 4:29,,Smith Hall,1120 N 14th St (UNL RESIDENCE HALL),$0.00,$0.00,MIP-C of UNL student at Smith Hall.
17004668,LARCENY - FROM MOTOR VEHICLE,11/18/2017 15:55,Closed - Inactive,11/18/2017 2:45,11/18/2017 15:30,19th & Vine Parking Garage,1830 Vine St (GOV'T PARKING LOT (UNL)),$33.00,$0.00,UPD received the report of a belated larceny from auto.
17004676,TRAFFIC - OTHER,11/18/2017 23:28,Closed - Cleared by Arrest-Adult,11/18/2017 23:28,,N/A,Q ST & N 17TH ST (STREET),$0.00,$0.00,"Traffic stop producing fictitious plates, no valid registration, and no tail lights after dark. N 17th/Q St."
17004675,MEDICAL EMERGENCY,11/18/2017 23:49,Closed - Non-Criminal Case,11/18/2017 23:49,,University Suites,1780 R St (UNL RESIDENCE HALL),$0.00,$0.00,Medical emergency of over-intoxicated UNO student at University Suites.
17004677,NARCOTICS - POSSESSION,11/19/2017 0:34,Closed - Cleared by Arrest-Adult,11/19/2017 0:34,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,Traffic stop yielding THC-concentrated wax and two MIP's at AVP/Vine.
17004678,ALCOHOL - DRUNK,11/19/2017 2:10,Closed - Non-Criminal Case,11/19/2017 2:10,,University Suites,1780 R St (UNL RESIDENCE HALL),$0.00,$0.00,A University student was contacted due to his intoxication level. He was transported to The Bridge for a safe detoxification (.225 BAC).
17004679,NARCOTICS - POSSESSION,11/19/2017 2:12,Closed - Cleared by Arrest-Adult,11/19/2017 2:12,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,"Officers contacted numerous non University affiliates during a traffic stop. A probable cause search of the vehicle produced narcotics. One individual was cited for Possession of Marijuana > 1oz, Possession of Drug Paraphernalia, and Improper Turn. Two additional passengers were lodged on warrants."
17004682,ALCOHOL - DWI,11/19/2017 2:59,Closed - Cleared by Arrest-Adult,11/19/2017 2:59,,N/A,3801 W O Street (STREET),$0.00,$0.00,"A non University affiliate was contacted after crashing her motor vehicle. She displayed symptoms of being under the influence of alcohol and was subsequently cited and released for DUI, Attempted Leaving the Scene of an Accident, and Minor in Possession of Alcohol."
17004683,NARCOTICS - POSSESSION,11/19/2017 12:46,Closed - Cleared by Arrest-Adult,11/19/2017 12:46,,University Suites,1780 R St (UNL RESIDENCE HALL),$0.00,$0.00,Officers contacted a University student due to an anonymous narcotics complaint. Officers subsequently seized marijuana and paraphernalia. The student was cited and released for Possession of Marijuana < 1oz and Possession of Drug Paraphernalia.
17004687,TRAFFIC - SUSPENDED DRIVER,11/19/2017 21:58,Closed - Cleared by Arrest-Adult,11/19/2017 21:58,,N/A,N 16TH ST & X ST (STREET),$0.00,$0.00,A traffic stop was conducted and the driver was found to have a suspended license. The driver a University of Nebraska student was cited/released for DUS.
17004689,TRAFFIC - SUSPENDED DRIVER,11/20/2017 1:21,Closed - Cleared by Arrest-Adult,11/20/2017 1:21,,N/A,ANTELOPE VALLEY PARKWAY & Q ST (STREET),$0.00,$0.00,A vehicle was stopped for a traffic violation. The driver was cited/released for DUS.
17004690,TRAFFIC - OTHER,11/20/2017 2:20,Closed - Cleared by Arrest-Adult,11/20/2017 2:20,,N/A,N 33RD ST & HOLDREGE ST (STREET),$0.00,$0.00,Attempted traffic stop of a stolen vehicle that ultimately fled to avoid arrest at N 45th/R St.
17004691,VANDALISM - OTHER,11/20/2017 7:23,Closed - Inactive,11/17/2017 16:30,11/20/2017 7:23,Transportation Services,1931 N Antelope Valley Pky (GOV'T PARKING LOT (UNL)),$0.00,$200.00,Two University vehicles were egged over the weekend.
17004693,OUTSIDE - O.P.S. OTHER,11/20/2017 8:42,Closed - Non-Criminal Case,11/20/2017 8:42,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,UPD assisted with investigating an outside LE agency case.
17004700,ALCOHOL - MINOR IN POSSESSION,11/20/2017 23:17,Closed - Cleared by Arrest-Adult,11/20/2017 23:17,,N/A,N 17TH ST & R ST (SIDEWALK),$0.00,$0.00,MIP-C of UNL student at N 17th St/R St.
17004701,NARCOTICS - POSSESSION,11/21/2017 0:16,Closed - Cleared by Arrest-Adult,11/21/2017 0:16,,N/A,N ANTELOPE VALLEY PKWY & MILITARY RD (STREET),$0.00,$0.00,Possession of marijuana and drug paraphernalia stemming from traffic stop at AVP/Military Rd.
17004703,FALSE INFORMATION - GIVEN TO OFC.,11/21/2017 2:20,Closed - Cleared by Arrest-Adult,11/21/2017 2:20,,N/A,SALT CREEK RDWY & N 21ST ST (STREET),$0.00,$0.00,False information arrest stemming from traffic stop at Salt Creek Rdwy/N 21 St.
17004710,DISTURBANCE - OTHER,11/21/2017 15:37,Closed - Non-Criminal Case,11/21/2017 15:37,,Beadle Center,1901 Vine St (UNL ACADEMIC BUILDING),$0.00,$0.00,Disturbance between two persons.
17004711,TRAFFIC - SUSPENDED DRIVER,11/21/2017 22:35,Closed - Cleared by Arrest-Adult,11/21/2017 22:35,,N/A,N 33RD ST & HUNTINGTON AVE (STREET),$0.00,$0.00,UPD Officer conducted a registration check utilizing their MDT. The driver was found to be suspended and also had an LPD broadcast. The driver was cited/released for DUS and turned over to LPD for the broadcast.
